OUTPUT Filename,Site,Buoy Size,Total mass,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,% time submerged,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost
PW_buoyS_mass568_wavesMax_currAve,PacWave,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyS_mass205_wavesAve_currMax,PacWave,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyS_mass255_wavesAve_currMax,PacWave,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyS_mass318_wavesAve_currMax,PacWave,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyS_mass443_wavesAve_currMax,PacWave,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyS_mass568_wavesAve_currMax,PacWave,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyS_mass205_wavesMax_currAve,WETS,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyS_mass255_wavesMax_currAve,WETS,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyS_mass318_wavesMax_currAve,WETS,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyS_mass443_wavesMax_currAve,WETS,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyS_mass568_wavesMax_currAve,WETS,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyS_mass205_wavesAve_currMax,WETS,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyS_mass255_wavesAve_currMax,WETS,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyS_mass318_wavesAve_currMax,WETS,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyS_mass443_wavesAve_currMax,WETS,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyS_mass568_wavesAve_currMax,WETS,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyS_mass205_wavesMax_currAve,Mid Atlantic,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyS_mass255_wavesMax_currAve,Mid Atlantic,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyS_mass318_wavesMax_currAve,Mid Atlantic,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyS_mass443_wavesMax_currAve,Mid Atlantic,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyS_mass568_wavesMax_currAve,Mid Atlantic,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyS_mass205_wavesAve_currMax,Mid Atlantic,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyS_mass255_wavesAve_currMax,Mid Atlantic,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyS_mass318_wavesAve_currMax,Mid Atlantic,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyS_mass443_wavesAve_currMax,Mid Atlantic,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyS_mass568_wavesAve_currMax,Mid Atlantic,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyS_mass205_wavesMax_currAve,PISCES,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyS_mass255_wavesMax_currAve,PISCES,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyS_mass318_wavesMax_currAve,PISCES,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyS_mass443_wavesMax_currAve,PISCES,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyS_mass568_wavesMax_currAve,PISCES,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyS_mass205_wavesAve_currMax,PISCES,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyS_mass255_wavesAve_currMax,PISCES,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyS_mass318_wavesAve_currMax,PISCES,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyS_mass443_wavesAve_currMax,PISCES,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyS_mass568_wavesAve_currMax,PISCES,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyS_mass205_wavesMax_currAve,Hueneme,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyS_mass255_wavesMax_currAve,Hueneme,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyS_mass318_wavesMax_currAve,Hueneme,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyS_mass443_wavesMax_currAve,Hueneme,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyS_mass568_wavesMax_currAve,Hueneme,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyS_mass205_wavesAve_currMax,Hueneme,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyS_mass255_wavesAve_currMax,Hueneme,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyS_mass318_wavesAve_currMax,Hueneme,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyS_mass443_wavesAve_currMax,Hueneme,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyS_mass568_wavesAve_currMax,Hueneme,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyS_mass205_wavesMax_currAve,Bering,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyS_mass255_wavesMax_currAve,Bering,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyS_mass318_wavesMax_currAve,Bering,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyS_mass443_wavesMax_currAve,Bering,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyS_mass568_wavesMax_currAve,Bering,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
BE_buoyS_mass205_wavesAve_currMax,Bering,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyS_mass255_wavesAve_currMax,Bering,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyS_mass318_wavesAve_currMax,Bering,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyS_mass443_wavesAve_currMax,Bering,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
BE_buoyS_mass568_wavesAve_currMax,Bering,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyS_mass205_wavesMax_currAve,SFOMF,Small,205,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyS_mass255_wavesMax_currAve,SFOMF,Small,255,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyS_mass318_wavesMax_currAve,SFOMF,Small,318,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyS_mass443_wavesMax_currAve,SFOMF,Small,443,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyS_mass568_wavesMax_currAve,SFOMF,Small,568,Max,Average,,,,,,,,0,240,,,0,1240
SF_buoyS_mass205_wavesAve_currMax,SFOMF,Small,205,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyS_mass255_wavesAve_currMax,SFOMF,Small,255,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyS_mass318_wavesAve_currMax,SFOMF,Small,318,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyS_mass443_wavesAve_currMax,SFOMF,Small,443,Average,Max,,,,,,,,0,240,,,0,1240
SF_buoyS_mass568_wavesAve_currMax,SFOMF,Small,568,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyL_mass5547_wavesMax_currAve,PacWave,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyL_mass6896_wavesMax_currAve,PacWave,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyL_mass8582_wavesMax_currAve,PacWave,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyL_mass11954_wavesMax_currAve,PacWave,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyL_mass15327_wavesMax_currAve,PacWave,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
PW_buoyL_mass5547_wavesAve_currMax,PacWave,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyL_mass6896_wavesAve_currMax,PacWave,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyL_mass8582_wavesAve_currMax,PacWave,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyL_mass11954_wavesAve_currMax,PacWave,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
PW_buoyL_mass15327_wavesAve_currMax,PacWave,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyL_mass5547_wavesMax_currAve,WETS,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyL_mass6896_wavesMax_currAve,WETS,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyL_mass8582_wavesMax_currAve,WETS,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyL_mass11954_wavesMax_currAve,WETS,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyL_mass15327_wavesMax_currAve,WETS,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
WT_buoyL_mass5547_wavesAve_currMax,WETS,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyL_mass6896_wavesAve_currMax,WETS,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyL_mass8582_wavesAve_currMax,WETS,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyL_mass11954_wavesAve_currMax,WETS,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
WT_buoyL_mass15327_wavesAve_currMax,WETS,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyL_mass5547_wavesMax_currAve,Mid Atlantic,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyL_mass6896_wavesMax_currAve,Mid Atlantic,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyL_mass8582_wavesMax_currAve,Mid Atlantic,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyL_mass11954_wavesMax_currAve,Mid Atlantic,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyL_mass15327_wavesMax_currAve,Mid Atlantic,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
MA_buoyL_mass5547_wavesAve_currMax,Mid Atlantic,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyL_mass6896_wavesAve_currMax,Mid Atlantic,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyL_mass8582_wavesAve_currMax,Mid Atlantic,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyL_mass11954_wavesAve_currMax,Mid Atlantic,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
MA_buoyL_mass15327_wavesAve_currMax,Mid Atlantic,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyL_mass5547_wavesMax_currAve,PISCES,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyL_mass6896_wavesMax_currAve,PISCES,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyL_mass8582_wavesMax_currAve,PISCES,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyL_mass11954_wavesMax_currAve,PISCES,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyL_mass15327_wavesMax_currAve,PISCES,Large,15327,Max,Average,,,,,,,,0,240,,,0,1240
PS_buoyL_mass5547_wavesAve_currMax,PISCES,Large,5547,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyL_mass6896_wavesAve_currMax,PISCES,Large,6896,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyL_mass8582_wavesAve_currMax,PISCES,Large,8582,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyL_mass11954_wavesAve_currMax,PISCES,Large,11954,Average,Max,,,,,,,,0,240,,,0,1240
PS_buoyL_mass15327_wavesAve_currMax,PISCES,Large,15327,Average,Max,,,,,,,,0,240,,,0,1240
HU_buoyL_mass5547_wavesMax_currAve,Hueneme,Large,5547,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyL_mass6896_wavesMax_currAve,Hueneme,Large,6896,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyL_mass8582_wavesMax_currAve,Hueneme,Large,8582,Max,Average,,,,,,,,0,240,,,0,1240
HU_buoyL_mass11954_wavesMax_currAve,Hueneme,Large,11954,Max,Average,,,,,,,,0,240,,,0,1240
