OUTPUT Filename,Site,Buoy Size,Total mass,Payload,Waves,Current,Main mooring length,Chain Length,Max Tension,Max Anchor Fx,Max Anchor Fz,Min Clearance,Chain cost,Tether Cost,Anchor weight required,,Anchor cost,total mooring cost,Tether safety factor,Run 2
BE_buoyM_mass8900_RGwavesAve_currMax.dat,Bering,Medium,8900,4000,Average,Max,66,10,1691,1244,888,0.6,$287,"$1,782",1319,2,"$1,600","$4,669",79.2,
BE_buoyM_mass11900_RGwavesAve_currMax.dat,Bering,Medium,11900,7000,Average,Max,66,10,2014,1504,1070,0.3,$287,"$1,782",1593,2,"$1,600","$4,669",66.5,
BE_buoyM_mass15900_RGwavesAve_currMax.dat,Bering,Medium,15900,11000,Average,Max,66,10,799,429,429,-0.3,$287,"$1,782",482,1,$300,"$3,369",167.6,
SF_buoyM_mass4900_RGwavesMax_currAve.dat,SFOMF,Medium,4900,0,Max,Average,234,10,4480,3307,2298,0.9,$287,"$3,380",3491,4,"$2,200","$6,868",29.9,
SF_buoyM_mass6900_RGwavesMax_currAve.dat,SFOMF,Medium,6900,2000,Max,Average,234,10,5339,4119,2647,0.7,$287,"$3,380",4299,5,"$2,500","$7,168",25.1,
SF_buoyM_mass8900_RGwavesMax_currAve.dat,SFOMF,Medium,8900,4000,Max,Average,234,10,6081,4850,2919,0.5,$287,"$3,380",5017,6,"$3,800","$8,468",22.0,
SF_buoyM_mass11900_RGwavesMax_currAve.dat,SFOMF,Medium,11900,7000,Max,Average,234,10,7204,5972,3266,0.2,$287,"$3,380",6104,8,"$4,400","$9,068",18.6,
SF_buoyM_mass15900_RGwavesMax_currAve.dat,SFOMF,Medium,15900,11000,Max,Average,234,10,9740,8376,3848,-1.3,$287,"$3,380",8397,10,"$6,000","$10,668",13.7,
SF_buoyM_mass4900_RGwavesAve_currMax.dat,SFOMF,Medium,4900,0,Average,Max,234,10,4295,3388,2041,1.1,$287,"$3,380",3506,4,"$2,200","$6,868",31.2,
SF_buoyM_mass6900_RGwavesAve_currMax.dat,SFOMF,Medium,6900,2000,Average,Max,234,10,4876,3936,2292,0.9,$287,"$3,380",4054,5,"$2,500","$7,168",27.5,
SF_buoyM_mass8900_RGwavesAve_currMax.dat,SFOMF,Medium,8900,4000,Average,Max,234,10,5570,4608,2570,0.6,$287,"$3,380",4721,6,"$3,800","$8,468",24.0,
SF_buoyM_mass11900_RGwavesAve_currMax.dat,SFOMF,Medium,11900,7000,Average,Max,234,10,7094,6098,3106,0.4,$287,"$3,380",6182,8,"$4,400","$9,068",18.9,
SF_buoyM_mass15900_RGwavesAve_currMax.dat,SFOMF,Medium,15900,11000,Average,Max,234,10,7795,6809,3293,0.1,$287,"$3,380",6863,9,"$4,700","$9,368",17.2,
PW_buoyS_mass950_RGwavesMax_currAve.dat,PacWave,Small,950,0,Max,Average,75,10,2135,1391,1295,0.3,$287,"$1,868",1542,2,"$1,600","$4,755",62.7,
PW_buoyS_mass1200_RGwavesMax_currAve.dat,PacWave,Small,1200,250,Max,Average,75,10,2411,1601,1460,0.1,$287,"$1,868",1768,2,"$1,600","$4,755",55.5,
PW_buoyS_mass1450_RGwavesMax_currAve.dat,PacWave,Small,1450,500,Max,Average,75,10,2576,1734,1538,-0.1,$287,"$1,868",1905,2,"$1,600","$4,755",52.0,
PW_buoyS_mass1700_RGwavesMax_currAve.dat,PacWave,Small,1700,750,Max,Average,75,10,2642,1824,1564,-0.1,$287,"$1,868",1992,2,"$1,600","$4,755",50.7,
PW_buoyS_mass2150_RGwavesMax_currAve.dat,PacWave,Small,2150,1200,Max,Average,75,10,1990,1460,1064,-7.6,$287,"$1,868",1552,2,"$1,600","$4,755",67.3,
PW_buoyS_mass950_RGwavesAve_currMax.dat,PacWave,Small,950,0,Average,Max,75,10,1961,1400,1070,1.1,$287,"$1,868",1499,2,"$1,600","$4,755",68.3,
PW_buoyS_mass1200_RGwavesAve_currMax.dat,PacWave,Small,1200,250,Average,Max,75,10,2130,1548,1177,1.0,$287,"$1,868",1657,2,"$1,600","$4,755",62.9,
PW_buoyS_mass1450_RGwavesAve_currMax.dat,PacWave,Small,1450,500,Average,Max,75,10,2342,1723,1295,0.9,$287,"$1,868",1840,2,"$1,600","$4,755",57.2,
PW_buoyS_mass1700_RGwavesAve_currMax.dat,PacWave,Small,1700,750,Average,Max,75,10,2584,1934,1432,0.7,$287,"$1,868",2061,3,"$1,900","$5,055",51.8,
PW_buoyS_mass2150_RGwavesAve_currMax.dat,PacWave,Small,2150,1200,Average,Max,75,10,2335,1789,1259,-1.5,$287,"$1,868",1891,2,"$1,600","$4,755",57.4,
WT_buoyS_mass950_RGwavesMax_currAve.dat,WETS,Small,950,0,Max,Average,56,10,1047,667,500,0.3,$287,"$1,687",712,1,$300,"$3,274",127.9,
WT_buoyS_mass1200_RGwavesMax_currAve.dat,WETS,Small,1200,250,Max,Average,56,10,1094,700,540,0.2,$287,"$1,687",751,1,$300,"$3,274",122.4,
WT_buoyS_mass1450_RGwavesMax_currAve.dat,WETS,Small,1450,500,Max,Average,56,10,1187,765,606,0.1,$287,"$1,687",824,1,$300,"$3,274",112.8,
WT_buoyS_mass1700_RGwavesMax_currAve.dat,WETS,Small,1700,750,Max,Average,56,10,1268,820,655,0.8,$287,"$1,687",885,1,$300,"$3,274",105.6,
WT_buoyS_mass2150_RGwavesMax_currAve.dat,WETS,Small,2150,1200,Max,Average,56,10,1302,844,649,-0.8,$287,"$1,687",905,1,$300,"$3,274",102.8,
WT_buoyS_mass950_RGwavesAve_currMax.dat,WETS,Small,950,0,Average,Max,56,10,807,549,287,1.1,$287,"$1,687",558,1,$300,"$3,274",166.0,
